,Video,Shape_type,Name,Color name,Color BGR,Thickness,topLeftX,topLeftY,Bottom_right_X,Bottom_right_Y,width,height,Tags,Ear_tag_size
0,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Gate-Non-Fighting,Coral,"(80, 127, 255)",5,1059,1032,1185,1154,126,122,"{'Center tag': (1122, 1093), 'Top left tag': (1059, 1032), 'Bottom right tag': (1185, 1154), 'Top right tag': (1185, 1032), 'Bottom left tag': (1059, 1154), 'Top tag': (1122, 1032), 'Right tag': (1185, 1093), 'Left tag': (1059, 1093), 'Bottom tag': (1122, 1154)}",10
1,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Hiding-corner-3,Yellow,"(0, 255, 255)",5,1732,1028,1923,1163,191,135,"{'Center tag': (1827, 1095), 'Top left tag': (1732, 1028), 'Bottom right tag': (1923, 1163), 'Top right tag': (1923, 1028), 'Bottom left tag': (1732, 1163), 'Top tag': (1827, 1028), 'Right tag': (1923, 1095), 'Left tag': (1732, 1095), 'Bottom tag': (1827, 1163)}",10
2,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Resource zone,Green,"(0, 128, 0)",5,810,192,1244,465,434,273,"{'Center tag': (1027, 328), 'Top left tag': (810, 192), 'Bottom right tag': (1244, 465), 'Top right tag': (1244, 192), 'Bottom left tag': (810, 465), 'Top tag': (1027, 192), 'Right tag': (1244, 328), 'Left tag': (810, 328), 'Bottom tag': (1027, 465)}",10
3,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Middle wall,Chocolate,"(30, 105, 210)",5,1021,473,1046,1155,25,682,"{'Center tag': (1033, 814), 'Top left tag': (1021, 473), 'Bottom right tag': (1046, 1155), 'Top right tag': (1046, 473), 'Bottom left tag': (1021, 1155), 'Top tag': (1033, 473), 'Right tag': (1046, 814), 'Left tag': (1021, 814), 'Bottom tag': (1033, 1155)}",10
4,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Gate-Fighting,Coral,"(80, 127, 255)",5,889,1030,1015,1152,126,122,"{'Center tag': (952, 1091), 'Top left tag': (889, 1030), 'Bottom right tag': (1015, 1152), 'Top right tag': (1015, 1030), 'Bottom left tag': (889, 1152), 'Top tag': (952, 1030), 'Right tag': (1015, 1091), 'Left tag': (889, 1091), 'Bottom tag': (952, 1152)}",10
5,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Hiding-corner-2,Yellow,"(0, 255, 255)",5,1755,207,1923,337,168,130,"{'Center tag': (1839, 272), 'Top left tag': (1755, 207), 'Bottom right tag': (1923, 337), 'Top right tag': (1923, 207), 'Bottom left tag': (1755, 337), 'Top tag': (1839, 207), 'Right tag': (1923, 272), 'Left tag': (1755, 272), 'Bottom tag': (1839, 337)}",10
6,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Hiding-corner-4,Yellow,"(0, 255, 255)",5,116,1019,299,1160,183,141,"{'Center tag': (207, 1089), 'Top left tag': (116, 1019), 'Bottom right tag': (299, 1160), 'Top right tag': (299, 1019), 'Bottom left tag': (116, 1160), 'Top tag': (207, 1019), 'Right tag': (299, 1089), 'Left tag': (116, 1089), 'Bottom tag': (207, 1160)}",10
7,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Nest,White,"(255, 255, 255)",5,948,194,1115,313,167,119,"{'Center tag': (1031, 253), 'Top left tag': (948, 194), 'Bottom right tag': (1115, 313), 'Top right tag': (1115, 194), 'Bottom left tag': (948, 313), 'Top tag': (1031, 194), 'Right tag': (1115, 253), 'Left tag': (948, 253), 'Bottom tag': (1031, 313)}",10
8,HybCD1-B1-D5-LocoPost-TC-Agouti,Rectangle,Hiding-corner-1,Yellow,"(0, 255, 255)",5,128,165,286,293,158,128,"{'Center tag': (207, 229), 'Top left tag': (128, 165), 'Bottom right tag': (286, 293), 'Top right tag': (286, 165), 'Bottom left tag': (128, 293), 'Top tag': (207, 165), 'Right tag': (286, 229), 'Left tag': (128, 229), 'Bottom tag': (207, 293)}",10
9,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Hiding-corner-3,Yellow,"(0, 255, 255)",5,1755,942,1925,1076,170,134,"{'Center tag': (1840, 1009), 'Top left tag': (1755, 942), 'Bottom right tag': (1925, 1076), 'Top right tag': (1925, 942), 'Bottom left tag': (1755, 1076), 'Top tag': (1840, 942), 'Right tag': (1925, 1009), 'Left tag': (1755, 1009), 'Bottom tag': (1840, 1076)}",10
10,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Hiding-corner-2,Yellow,"(0, 255, 255)",5,1765,125,1935,250,170,125,"{'Center tag': (1850, 187), 'Top left tag': (1765, 125), 'Bottom right tag': (1935, 250), 'Top right tag': (1935, 125), 'Bottom left tag': (1765, 250), 'Top tag': (1850, 125), 'Right tag': (1935, 187), 'Left tag': (1765, 187), 'Bottom tag': (1850, 250)}",10
11,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Nest,White,"(255, 255, 255)",5,941,138,1120,266,179,128,"{'Center tag': (1030, 202), 'Top left tag': (941, 138), 'Bottom right tag': (1120, 266), 'Top right tag': (1120, 138), 'Bottom left tag': (941, 266), 'Top tag': (1030, 138), 'Right tag': (1120, 202), 'Left tag': (941, 202), 'Bottom tag': (1030, 266)}",10
12,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Middle wall,Chocolate,"(30, 105, 210)",5,1013,442,1055,1120,42,678,"{'Center tag': (1034, 781), 'Top left tag': (1013, 442), 'Bottom right tag': (1055, 1120), 'Top right tag': (1055, 442), 'Bottom left tag': (1013, 1120), 'Top tag': (1034, 442), 'Right tag': (1055, 781), 'Left tag': (1013, 781), 'Bottom tag': (1034, 1120)}",10
13,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Hiding-corner-1,Yellow,"(0, 255, 255)",5,114,118,278,234,164,116,"{'Center tag': (196, 176), 'Top left tag': (114, 118), 'Bottom right tag': (278, 234), 'Top right tag': (278, 118), 'Bottom left tag': (114, 234), 'Top tag': (196, 118), 'Right tag': (278, 176), 'Left tag': (114, 176), 'Bottom tag': (196, 234)}",10
14,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Resource zone,Green,"(0, 128, 0)",5,849,139,1238,435,389,296,"{'Center tag': (1043, 287), 'Top left tag': (849, 139), 'Bottom right tag': (1238, 435), 'Top right tag': (1238, 139), 'Bottom left tag': (849, 435), 'Top tag': (1043, 139), 'Right tag': (1238, 287), 'Left tag': (849, 287), 'Bottom tag': (1043, 435)}",10
15,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Gate-Non-Fighting,Coral,"(80, 127, 255)",5,1059,978,1180,1096,121,118,"{'Center tag': (1119, 1037), 'Top left tag': (1059, 978), 'Bottom right tag': (1180, 1096), 'Top right tag': (1180, 978), 'Bottom left tag': (1059, 1096), 'Top tag': (1119, 978), 'Right tag': (1180, 1037), 'Left tag': (1059, 1037), 'Bottom tag': (1119, 1096)}",10
16,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Hiding-corner-4,Yellow,"(0, 255, 255)",5,147,958,319,1092,172,134,"{'Center tag': (233, 1025), 'Top left tag': (147, 958), 'Bottom right tag': (319, 1092), 'Top right tag': (319, 958), 'Bottom left tag': (147, 1092), 'Top tag': (233, 958), 'Right tag': (319, 1025), 'Left tag': (147, 1025), 'Bottom tag': (233, 1092)}",10
17,HybCD1-B1-D5-LocoPost-TC-Black,Rectangle,Gate-Fighting,Coral,"(80, 127, 255)",5,902,978,1023,1096,121,118,"{'Center tag': (962, 1037), 'Top left tag': (902, 978), 'Bottom right tag': (1023, 1096), 'Top right tag': (1023, 978), 'Bottom left tag': (902, 1096), 'Top tag': (962, 978), 'Right tag': (1023, 1037), 'Left tag': (902, 1037), 'Bottom tag': (962, 1096)}",10
18,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Gate-Fighting,Coral,"(80, 127, 255)",5,875,1023,1003,1151,128,128,"{'Center tag': (939, 1087), 'Top left tag': (875, 1023), 'Bottom right tag': (1003, 1151), 'Top right tag': (1003, 1023), 'Bottom left tag': (875, 1151), 'Top tag': (939, 1023), 'Right tag': (1003, 1087), 'Left tag': (875, 1087), 'Bottom tag': (939, 1151)}",10
19,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Gate-Non-Fighting,Coral,"(80, 127, 255)",5,1039,1021,1167,1149,128,128,"{'Center tag': (1103, 1085), 'Top left tag': (1039, 1021), 'Bottom right tag': (1167, 1149), 'Top right tag': (1167, 1021), 'Bottom left tag': (1039, 1149), 'Top tag': (1103, 1021), 'Right tag': (1167, 1085), 'Left tag': (1039, 1085), 'Bottom tag': (1103, 1149)}",10
20,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Middle wall,Chocolate,"(30, 105, 210)",5,1006,445,1038,1170,32,725,"{'Center tag': (1022, 807), 'Top left tag': (1006, 445), 'Bottom right tag': (1038, 1170), 'Top right tag': (1038, 445), 'Bottom left tag': (1006, 1170), 'Top tag': (1022, 445), 'Right tag': (1038, 807), 'Left tag': (1006, 807), 'Bottom tag': (1022, 1170)}",10
21,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Hiding-corner-3,Yellow,"(0, 255, 255)",5,1746,998,1929,1130,183,132,"{'Center tag': (1837, 1064), 'Top left tag': (1746, 998), 'Bottom right tag': (1929, 1130), 'Top right tag': (1929, 998), 'Bottom left tag': (1746, 1130), 'Top tag': (1837, 998), 'Right tag': (1929, 1064), 'Left tag': (1746, 1064), 'Bottom tag': (1837, 1130)}",10
22,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Hiding-corner-2,Yellow,"(0, 255, 255)",5,1751,167,1934,299,183,132,"{'Center tag': (1842, 233), 'Top left tag': (1751, 167), 'Bottom right tag': (1934, 299), 'Top right tag': (1934, 167), 'Bottom left tag': (1751, 299), 'Top tag': (1842, 167), 'Right tag': (1934, 233), 'Left tag': (1751, 233), 'Bottom tag': (1842, 299)}",10
23,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Hiding-corner-4,Yellow,"(0, 255, 255)",5,112,1010,295,1142,183,132,"{'Center tag': (203, 1076), 'Top left tag': (112, 1010), 'Bottom right tag': (295, 1142), 'Top right tag': (295, 1010), 'Bottom left tag': (112, 1142), 'Top tag': (203, 1010), 'Right tag': (295, 1076), 'Left tag': (112, 1076), 'Bottom tag': (203, 1142)}",10
24,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Hiding-corner-1,Yellow,"(0, 255, 255)",5,114,163,297,295,183,132,"{'Center tag': (205, 229), 'Top left tag': (114, 163), 'Bottom right tag': (297, 295), 'Top right tag': (297, 163), 'Bottom left tag': (114, 295), 'Top tag': (205, 163), 'Right tag': (297, 229), 'Left tag': (114, 229), 'Bottom tag': (205, 295)}",10
25,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Resource zone,Green,"(0, 128, 0)",5,847,186,1238,483,391,297,"{'Center tag': (1042, 334), 'Top left tag': (847, 186), 'Bottom right tag': (1238, 483), 'Top right tag': (1238, 186), 'Bottom left tag': (847, 483), 'Top tag': (1042, 186), 'Right tag': (1238, 334), 'Left tag': (847, 334), 'Bottom tag': (1042, 483)}",10
26,HybCD1-B1-D5-LocoPre-TC-Agouti,Rectangle,Nest,White,"(255, 255, 255)",5,943,168,1113,306,170,138,"{'Center tag': (1028, 237), 'Top left tag': (943, 168), 'Bottom right tag': (1113, 306), 'Top right tag': (1113, 168), 'Bottom left tag': (943, 306), 'Top tag': (1028, 168), 'Right tag': (1113, 237), 'Left tag': (943, 237), 'Bottom tag': (1028, 306)}",10
27,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Gate-Non-Fighting,Coral,"(80, 127, 255)",5,1053,1021,1189,1142,136,121,"{'Center tag': (1121, 1081), 'Top left tag': (1053, 1021), 'Bottom right tag': (1189, 1142), 'Top right tag': (1189, 1021), 'Bottom left tag': (1053, 1142), 'Top tag': (1121, 1021), 'Right tag': (1189, 1081), 'Left tag': (1053, 1081), 'Bottom tag': (1121, 1142)}",10
28,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Hiding-corner-3,Yellow,"(0, 255, 255)",5,1754,1014,1916,1139,162,125,"{'Center tag': (1835, 1076), 'Top left tag': (1754, 1014), 'Bottom right tag': (1916, 1139), 'Top right tag': (1916, 1014), 'Bottom left tag': (1754, 1139), 'Top tag': (1835, 1014), 'Right tag': (1916, 1076), 'Left tag': (1754, 1076), 'Bottom tag': (1835, 1139)}",10
29,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Hiding-corner-1,Yellow,"(0, 255, 255)",5,118,184,280,309,162,125,"{'Center tag': (199, 246), 'Top left tag': (118, 184), 'Bottom right tag': (280, 309), 'Top right tag': (280, 184), 'Bottom left tag': (118, 309), 'Top tag': (199, 184), 'Right tag': (280, 246), 'Left tag': (118, 246), 'Bottom tag': (199, 309)}",10
30,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Gate-Fighting,Coral,"(80, 127, 255)",5,871,1021,1007,1142,136,121,"{'Center tag': (939, 1081), 'Top left tag': (871, 1021), 'Bottom right tag': (1007, 1142), 'Top right tag': (1007, 1021), 'Bottom left tag': (871, 1142), 'Top tag': (939, 1021), 'Right tag': (1007, 1081), 'Left tag': (871, 1081), 'Bottom tag': (939, 1142)}",10
31,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Hiding-corner-4,Yellow,"(0, 255, 255)",5,115,1020,277,1145,162,125,"{'Center tag': (196, 1082), 'Top left tag': (115, 1020), 'Bottom right tag': (277, 1145), 'Top right tag': (277, 1020), 'Bottom left tag': (115, 1145), 'Top tag': (196, 1020), 'Right tag': (277, 1082), 'Left tag': (115, 1082), 'Bottom tag': (196, 1145)}",10
32,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Resource zone,Green,"(0, 128, 0)",5,798,184,1219,457,421,273,"{'Center tag': (1008, 320), 'Top left tag': (798, 184), 'Bottom right tag': (1219, 457), 'Top right tag': (1219, 184), 'Bottom left tag': (798, 457), 'Top tag': (1008, 184), 'Right tag': (1219, 320), 'Left tag': (798, 320), 'Bottom tag': (1008, 457)}",10
33,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Nest,White,"(255, 255, 255)",5,960,165,1129,318,169,153,"{'Center tag': (1044, 241), 'Top left tag': (960, 165), 'Bottom right tag': (1129, 318), 'Top right tag': (1129, 165), 'Bottom left tag': (960, 318), 'Top tag': (1044, 165), 'Right tag': (1129, 241), 'Left tag': (960, 241), 'Bottom tag': (1044, 318)}",10
34,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Hiding-corner-2,Yellow,"(0, 255, 255)",5,1742,167,1904,292,162,125,"{'Center tag': (1823, 229), 'Top left tag': (1742, 167), 'Bottom right tag': (1904, 292), 'Top right tag': (1904, 167), 'Bottom left tag': (1742, 292), 'Top tag': (1823, 167), 'Right tag': (1904, 229), 'Left tag': (1742, 229), 'Bottom tag': (1823, 292)}",10
35,HybCD1-B1-D5-LocoPre-TC-Black,Rectangle,Middle wall,Chocolate,"(30, 105, 210)",5,1002,435,1054,1147,52,712,"{'Center tag': (1028, 791), 'Top left tag': (1002, 435), 'Bottom right tag': (1054, 1147), 'Top right tag': (1054, 435), 'Bottom left tag': (1002, 1147), 'Top tag': (1028, 435), 'Right tag': (1054, 791), 'Left tag': (1002, 791), 'Bottom tag': (1028, 1147)}",10
